"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT08","WT11","WT14","WT16","WT18"
"USC00047916","SANTA CRUZ, CA US","1893-08-10",,"79","51",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-11",,"77","52",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-12",,"72","51",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-13",,"78","53",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-14",,"66","48",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-15",,"66","53",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-16",,"80","53",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-17",,"79","46",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-18",,"79","49",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-19",,"83","48",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-20",,"75","47",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-21",,"75","54",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-22",,"81","49",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-23",,"84","52",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-24",,"68","54",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-25",,"67","54",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-26",,"65","54",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-27",,"73","54",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-28",,"74","53",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-29",,"68","55",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-30",,"69","56",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-08-31",,"75","56",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-01","0.00","77","50",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-02","0.00","81","47",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-03","0.00","77","48",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-04","0.00","76","47",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-05","0.00","67","50",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-06","0.00","69","55",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-07","0.00","71","54",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-08","0.00","73","50",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-09","0.00","72","48",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-10","0.25","73","47",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-11","0.00","70","58",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-12","0.00","74","45",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-13","0.00","76","45",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-14","0.00","71","46",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-15","0.00","63","50",,"    1",,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-16","0.00","77","54",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-17","0.00","71","55",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-18","0.00","66","52",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-19","0.00","70","44",,,,,,,"    1",,,
"USC00047916","SANTA CRUZ, CA US","1893-09-20","0.00","77","45",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-21","0.00","77","45",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-22","0.00","77","45",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-23","0.00","76","45",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-24","0.00","78","47",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-25","0.00","78","50",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-26","0.00","68","43",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-27","0.00","77","49",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-28","0.00","71","48",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-29","0.00","73","46",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-09-30","0.00","76","39",,,,,,,"    1",,,
"USC00047916","SANTA CRUZ, CA US","1893-10-01","0.00","79","44",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-02","0.00","78","44",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-03","0.00","74","44",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-04","0.00","75","49",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-05","0.00","80","42",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-06","0.00","78","42",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-07","0.00","80","44",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-08","0.00","77","48",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-09","0.50","71","58",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-10","0.00","72","43",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-11","0.00","76","42",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-12","0.00","74","43",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-13","0.00","85","47",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-14","0.00","69","45",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-15","0.00","64","47",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-16","0.00","71","45",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-17","0.00","69","39",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-18","0.00","62","42",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-19","0.00","65","40",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-20","0.00","66","41",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-21","0.00","69","43",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-22","0.00","65","41",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-23","0.00","72","46",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-24","0.25","69","54",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-10-25","0.00","68","44",,,,,,,,,,
